borough,precinct,crashes,injuries,fatalities,injuries_car,fatalities_car
Manhattan,1,90,91,0,0,0
Manhattan,5,73,75,0,3,0
Manhattan,6,58,60,0,0,0
Manhattan,7,51,51,0,1,0
Manhattan,9,86,87,0,1,0
Manhattan,10,51,51,0,0,0
Manhattan,13,136,136,0,0,0
Manhattan,14,94,94,0,0,0
Manhattan,17,108,108,0,0,0
Manhattan,18,104,106,0,0,0
Manhattan,19,111,111,0,2,0
Manhattan,20,50,51,0,0,0
Manhattan,22,5,5,0,0,0
Manhattan,23,37,37,0,1,0
Manhattan,24,40,40,0,0,0
Manhattan,25,38,37,1,1,0
Manhattan,26,19,20,0,0,0
Manhattan,28,42,42,0,1,0
Manhattan,30,27,28,0,0,0
Manhattan,32,29,30,1,0,0
Manhattan,33,28,28,0,0,0
Manhattan,34,36,36,0,0,0
Bronx,40,58,59,0,3,0
Bronx,41,21,21,0,1,0
Bronx,42,32,32,0,0,0
Bronx,43,32,32,0,1,0
Bronx,44,60,59,1,0,0
Bronx,45,26,25,1,0,0
Bronx,46,43,45,0,0,0
Bronx,47,37,37,0,0,0
Bronx,48,42,42,0,1,0
Bronx,49,39,39,0,0,0
Bronx,50,29,29,0,0,0
Bronx,52,35,35,0,1,0
Brooklyn,60,29,29,0,1,0
Brooklyn,61,73,73,0,0,0
Brooklyn,62,58,58,0,1,0
Brooklyn,63,20,20,0,0,0
Brooklyn,66,122,122,0,1,0
Brooklyn,67,79,80,0,2,0
Brooklyn,68,41,42,0,0,0
Brooklyn,69,19,19,0,2,0
Brooklyn,70,117,119,1,1,0
Brooklyn,71,51,52,0,0,0
Brooklyn,72,71,72,1,0,0
Brooklyn,73,39,39,0,0,0
Brooklyn,75,87,90,0,0,0
Brooklyn,76,34,33,1,0,0
Brooklyn,77,59,60,0,2,0
Brooklyn,78,74,73,1,8,0
Brooklyn,79,102,102,0,1,0
Brooklyn,81,64,64,0,0,0
Brooklyn,83,84,84,0,1,0
Brooklyn,84,55,55,0,0,0
Brooklyn,88,99,99,0,1,0
Brooklyn,90,177,177,0,3,0
Brooklyn,94,90,90,0,1,0
Queens,100,14,14,0,0,0
Queens,101,17,16,1,1,0
Queens,102,59,59,0,1,0
Queens,103,33,33,0,0,0
Queens,104,102,102,0,1,0
Queens,105,43,44,0,2,0
Queens,106,44,44,1,0,0
Queens,107,24,24,0,0,0
Queens,108,117,116,2,2,0
Queens,109,77,77,0,1,0
Queens,110,94,96,0,0,0
Queens,111,24,24,0,0,0
Queens,112,34,34,0,0,0
Queens,113,46,46,0,0,0
Queens,114,111,110,1,3,0
Queens,115,106,108,0,0,0
StatenIsland,120,16,16,0,1,0
StatenIsland,121,21,21,0,0,0
StatenIsland,122,13,13,1,0,0
StatenIsland,123,5,5,0,0,0
