borough,precinct,crashes,injuries_pedestrian,fatalities_pedestrian,injuries,fatalities
Manhattan,1,12,13,0,0,0
Manhattan,5,12,12,0,0,0
Manhattan,6,8,8,0,1,0
Manhattan,7,6,6,0,0,0
Manhattan,9,9,9,0,0,0
Manhattan,10,1,1,0,0,0
Manhattan,13,17,17,0,0,0
Manhattan,14,22,22,0,0,0
Manhattan,17,15,15,0,1,0
Manhattan,18,14,15,0,0,0
Manhattan,19,21,22,0,0,0
Manhattan,20,10,10,0,0,0
Manhattan,22,14,14,0,3,0
Manhattan,23,5,5,0,0,0
Manhattan,24,13,13,0,2,0
Manhattan,25,3,3,0,1,0
Manhattan,26,5,5,0,1,0
Manhattan,28,3,3,0,0,0
Manhattan,30,3,3,0,0,0
Manhattan,32,1,1,0,0,0
Manhattan,33,0,0,0,0,0
Manhattan,34,2,2,0,0,0
Bronx,40,4,4,0,0,0
Bronx,41,0,0,0,0,0
Bronx,42,0,0,0,0,0
Bronx,43,0,0,0,0,0
Bronx,44,3,3,0,0,0
Bronx,45,1,1,0,0,0
Bronx,46,3,3,0,0,0
Bronx,47,0,0,0,0,0
Bronx,48,4,4,0,0,0
Bronx,49,1,1,0,0,0
Bronx,50,1,1,0,1,0
Bronx,52,3,3,0,1,0
Brooklyn,60,2,2,0,0,0
Brooklyn,61,1,1,0,0,0
Brooklyn,62,5,5,0,1,0
Brooklyn,63,0,0,0,0,0
Brooklyn,66,9,10,0,1,0
Brooklyn,67,1,2,0,0,0
Brooklyn,68,3,3,0,0,0
Brooklyn,69,0,0,0,0,0
Brooklyn,70,4,4,0,0,0
Brooklyn,71,3,3,0,1,0
Brooklyn,72,3,3,0,1,0
Brooklyn,73,0,0,0,0,0
Brooklyn,75,1,1,0,0,0
Brooklyn,76,3,3,0,0,0
Brooklyn,77,5,5,0,0,0
Brooklyn,78,10,11,0,1,0
Brooklyn,79,9,9,0,2,1
Brooklyn,81,1,1,0,0,0
Brooklyn,83,5,6,0,0,0
Brooklyn,84,9,9,0,0,0
Brooklyn,88,5,5,0,1,0
Brooklyn,90,12,13,0,3,0
Brooklyn,94,5,5,0,3,0
Queens,100,0,0,0,0,0
Queens,101,0,0,0,0,0
Queens,102,2,3,0,0,0
Queens,103,0,0,0,0,0
Queens,104,3,3,0,0,0
Queens,105,0,0,0,0,0
Queens,106,0,0,0,0,0
Queens,107,1,1,0,0,0
Queens,108,0,0,0,0,0
Queens,109,3,4,0,0,0
Queens,110,11,12,0,1,0
Queens,111,1,1,0,0,0
Queens,112,1,1,0,0,0
Queens,113,0,0,0,0,0
Queens,114,6,6,0,2,0
Queens,115,6,6,0,0,0
StatenIsland,120,1,1,0,0,0
StatenIsland,121,0,0,0,0,0
StatenIsland,122,1,2,0,0,0
StatenIsland,123,1,1,0,0,0
