borough,precinct,crashes,injuries,fatalities,injuries_car,fatalities_car
Manhattan,1,73,74,0,0,0
Manhattan,5,84,84,0,1,0
Manhattan,6,53,54,0,0,0
Manhattan,7,50,49,1,0,0
Manhattan,9,85,86,0,0,0
Manhattan,10,41,41,0,0,0
Manhattan,13,129,129,0,1,0
Manhattan,14,95,95,0,2,0
Manhattan,17,62,62,0,0,0
Manhattan,18,76,76,0,0,0
Manhattan,19,93,93,0,1,0
Manhattan,20,40,40,0,0,0
Manhattan,22,7,7,0,0,0
Manhattan,23,24,22,2,0,0
Manhattan,24,47,46,1,0,0
Manhattan,25,26,26,0,1,0
Manhattan,26,36,36,0,0,0
Manhattan,28,50,49,1,3,0
Manhattan,30,21,21,0,0,0
Manhattan,32,24,25,0,0,0
Manhattan,33,24,24,0,0,0
Manhattan,34,48,48,0,0,0
Bronx,40,43,43,0,1,0
Bronx,41,23,23,0,0,0
Bronx,42,31,31,0,0,0
Bronx,43,56,56,1,0,0
Bronx,44,42,42,0,0,0
Bronx,45,31,31,0,1,0
Bronx,46,34,34,0,0,0
Bronx,47,25,25,0,1,0
Bronx,48,39,39,0,0,0
Bronx,49,41,41,0,0,0
Bronx,50,19,19,0,0,0
Bronx,52,32,32,0,2,0
Brooklyn,60,42,43,0,0,0
Brooklyn,61,69,72,1,1,0
Brooklyn,62,70,70,0,0,0
Brooklyn,63,32,32,0,0,0
Brooklyn,66,89,89,0,0,0
Brooklyn,67,59,61,0,2,0
Brooklyn,68,40,40,0,1,0
Brooklyn,69,19,19,0,0,0
Brooklyn,70,93,93,0,0,0
Brooklyn,71,46,45,1,0,0
Brooklyn,72,75,75,0,0,0
Brooklyn,73,31,30,1,0,0
Brooklyn,75,79,83,0,1,0
Brooklyn,76,17,17,0,1,0
Brooklyn,77,69,69,0,0,0
Brooklyn,78,81,81,0,0,0
Brooklyn,79,86,86,0,2,0
Brooklyn,81,45,44,1,3,0
Brooklyn,83,81,81,0,3,0
Brooklyn,84,54,53,1,0,0
Brooklyn,88,83,83,0,0,0
Brooklyn,90,177,176,1,3,0
Brooklyn,94,68,69,0,2,0
Queens,100,10,10,0,0,0
Queens,101,17,17,0,1,0
Queens,102,45,46,1,0,0
Queens,103,42,42,0,0,0
Queens,104,57,57,0,0,0
Queens,105,47,45,2,6,0
Queens,106,33,34,0,1,0
Queens,107,26,26,0,0,0
Queens,108,114,114,0,1,0
Queens,109,54,53,1,0,0
Queens,110,79,78,1,0,0
Queens,111,13,13,0,0,0
Queens,112,20,19,1,0,0
Queens,113,39,38,1,1,0
Queens,114,123,122,1,1,0
Queens,115,93,94,0,2,0
StatenIsland,120,29,29,0,1,0
StatenIsland,121,15,15,0,0,0
StatenIsland,122,15,15,0,0,0
StatenIsland,123,1,1,0,0,0
