borough,precinct,crashes,injuries,fatalities,injuries_car,fatalities_car
Manhattan,1,83,83,1,3,0
Manhattan,5,73,72,1,1,0
Manhattan,6,63,63,0,0,0
Manhattan,7,47,47,0,0,0
Manhattan,9,90,89,1,0,0
Manhattan,10,47,46,2,1,0
Manhattan,13,124,124,1,1,0
Manhattan,14,96,97,1,0,0
Manhattan,17,89,89,0,0,0
Manhattan,18,93,92,1,0,0
Manhattan,19,99,99,0,0,0
Manhattan,20,57,56,1,0,0
Manhattan,22,6,6,0,0,0
Manhattan,23,25,25,0,0,0
Manhattan,24,47,48,0,1,0
Manhattan,25,30,30,0,2,0
Manhattan,26,27,27,0,0,0
Manhattan,28,50,50,0,0,0
Manhattan,30,23,24,0,0,0
Manhattan,32,32,32,0,0,0
Manhattan,33,25,25,0,0,0
Manhattan,34,36,36,0,0,0
Bronx,40,72,74,0,2,0
Bronx,41,24,24,0,1,0
Bronx,42,35,35,0,0,0
Bronx,43,44,44,0,1,0
Bronx,44,55,55,0,1,0
Bronx,45,19,19,0,0,0
Bronx,46,42,45,0,0,0
Bronx,47,32,35,0,0,0
Bronx,48,37,36,1,0,0
Bronx,49,35,35,0,0,0
Bronx,50,13,13,0,1,0
Bronx,52,36,36,0,0,0
Brooklyn,60,31,31,0,0,0
Brooklyn,61,88,86,2,1,0
Brooklyn,62,67,68,0,0,0
Brooklyn,63,36,36,0,0,0
Brooklyn,66,119,120,2,0,0
Brooklyn,67,80,79,1,0,0
Brooklyn,68,44,45,0,0,0
Brooklyn,69,20,20,0,0,0
Brooklyn,70,99,101,0,0,0
Brooklyn,71,58,59,1,1,0
Brooklyn,72,89,89,0,0,0
Brooklyn,73,36,37,0,0,0
Brooklyn,75,98,99,0,1,0
Brooklyn,76,23,23,0,0,0
Brooklyn,77,56,56,0,0,0
Brooklyn,78,69,70,0,0,0
Brooklyn,79,117,117,0,1,0
Brooklyn,81,51,50,1,0,0
Brooklyn,83,110,110,1,4,0
Brooklyn,84,65,65,0,0,0
Brooklyn,88,77,77,0,0,0
Brooklyn,90,170,170,1,0,0
Brooklyn,94,83,83,1,0,0
Queens,100,13,13,0,0,0
Queens,101,13,13,0,0,0
Queens,102,54,56,0,2,0
Queens,103,46,46,0,1,0
Queens,104,93,93,0,0,0
Queens,105,28,28,0,0,0
Queens,106,33,34,0,0,0
Queens,107,23,23,0,0,0
Queens,108,108,109,1,0,0
Queens,109,88,89,1,0,0
Queens,110,97,97,0,2,0
Queens,111,17,17,0,0,0
Queens,112,33,32,1,0,0
Queens,113,25,25,0,1,0
Queens,114,137,139,1,1,0
Queens,115,97,99,0,1,0
StatenIsland,120,34,34,0,0,0
StatenIsland,121,20,20,0,1,0
StatenIsland,122,19,19,0,0,0
StatenIsland,123,8,9,0,1,0
