borough,precinct,crashes,injuries_pedestrian,fatalities_pedestrian,injuries,fatalities
Manhattan,1,17,18,0,3,0
Manhattan,5,13,13,0,1,0
Manhattan,6,4,2,0,1,0
Manhattan,7,9,5,1,4,0
Manhattan,9,17,17,0,4,0
Manhattan,10,3,3,0,1,0
Manhattan,13,16,14,0,5,0
Manhattan,14,20,19,0,5,0
Manhattan,17,11,9,0,4,0
Manhattan,18,16,12,0,1,0
Manhattan,19,18,14,0,5,0
Manhattan,20,10,10,0,2,0
Manhattan,22,20,13,0,24,0
Manhattan,23,6,3,0,0,0
Manhattan,24,10,7,0,3,0
Manhattan,25,2,2,0,1,0
Manhattan,26,2,1,0,0,0
Manhattan,28,4,5,0,1,0
Manhattan,30,3,2,0,1,0
Manhattan,32,3,2,0,0,0
Manhattan,33,2,0,0,1,0
Manhattan,34,1,1,0,0,0
Bronx,40,5,5,0,1,0
Bronx,41,2,2,0,0,0
Bronx,42,3,1,0,0,0
Bronx,43,2,2,0,0,0
Bronx,44,7,7,0,1,0
Bronx,45,0,0,0,0,0
Bronx,46,0,0,0,0,0
Bronx,47,1,1,0,0,0
Bronx,48,1,1,0,0,0
Bronx,49,1,1,0,0,0
Bronx,50,2,1,0,0,0
Bronx,52,1,1,0,0,0
Brooklyn,60,1,1,0,0,0
Brooklyn,61,3,3,0,1,0
Brooklyn,62,4,4,0,0,0
Brooklyn,63,0,0,0,0,0
Brooklyn,66,5,5,0,1,0
Brooklyn,67,2,2,0,0,0
Brooklyn,68,5,4,0,1,0
Brooklyn,69,0,0,0,0,0
Brooklyn,70,3,3,0,0,0
Brooklyn,71,2,2,0,0,0
Brooklyn,72,7,7,0,1,0
Brooklyn,73,2,2,0,0,0
Brooklyn,75,2,2,0,0,0
Brooklyn,76,1,1,0,0,0
Brooklyn,77,3,3,0,0,0
Brooklyn,78,11,10,0,3,0
Brooklyn,79,3,2,0,1,0
Brooklyn,81,4,3,0,0,0
Brooklyn,83,5,4,0,1,0
Brooklyn,84,17,14,0,6,0
Brooklyn,88,1,1,0,0,0
Brooklyn,90,9,8,0,2,0
Brooklyn,94,3,3,0,0,0
Queens,100,0,0,0,0,0
Queens,101,0,0,0,0,0
Queens,102,1,1,0,0,0
Queens,103,1,1,0,0,0
Queens,104,3,3,0,1,0
Queens,105,0,0,0,0,0
Queens,106,0,0,0,0,0
Queens,107,1,1,0,0,0
Queens,108,5,4,0,0,0
Queens,109,8,8,0,0,0
Queens,110,9,8,0,0,0
Queens,111,0,0,0,0,0
Queens,112,1,1,0,0,0
Queens,113,1,1,0,0,0
Queens,114,4,4,0,1,0
Queens,115,5,4,0,0,0
StatenIsland,120,1,1,0,0,0
StatenIsland,121,0,0,0,0,0
StatenIsland,122,0,0,0,0,0
StatenIsland,123,0,0,0,0,0
