borough,precinct,crashes,injuries,fatalities,injuries_car,fatalities_car
Manhattan,1,112,87,0,3,0
Manhattan,5,95,67,0,0,0
Manhattan,6,69,46,0,1,0
Manhattan,7,54,41,0,0,0
Manhattan,9,122,93,0,0,0
Manhattan,10,78,39,0,0,0
Manhattan,13,163,111,0,3,0
Manhattan,14,152,94,0,1,0
Manhattan,17,131,97,1,1,0
Manhattan,18,188,103,0,0,0
Manhattan,19,143,90,0,2,0
Manhattan,20,66,42,1,0,0
Manhattan,22,9,6,0,0,0
Manhattan,23,63,40,0,0,0
Manhattan,24,68,43,0,0,0
Manhattan,25,45,34,0,1,0
Manhattan,26,30,21,1,0,0
Manhattan,28,66,52,0,2,0
Manhattan,30,32,28,0,0,0
Manhattan,32,54,38,0,4,0
Manhattan,33,51,42,0,0,0
Manhattan,34,52,43,0,0,0
Bronx,40,97,71,0,2,0
Bronx,41,26,23,0,0,0
Bronx,42,46,29,0,0,0
Bronx,43,61,46,0,0,0
Bronx,44,67,58,0,0,0
Bronx,45,24,19,0,0,0
Bronx,46,62,49,1,2,0
Bronx,47,46,41,0,0,0
Bronx,48,55,42,1,0,0
Bronx,49,29,24,0,0,0
Bronx,50,28,27,0,0,0
Bronx,52,37,35,0,0,0
Brooklyn,60,43,38,0,0,0
Brooklyn,61,95,89,0,0,0
Brooklyn,62,85,73,0,0,0
Brooklyn,63,39,30,0,0,0
Brooklyn,66,160,139,0,1,0
Brooklyn,67,92,76,0,2,0
Brooklyn,68,52,43,0,1,0
Brooklyn,69,38,32,0,0,0
Brooklyn,70,138,120,0,0,0
Brooklyn,71,86,73,0,21,0
Brooklyn,72,103,87,0,2,0
Brooklyn,73,67,53,1,5,0
Brooklyn,75,110,97,0,4,0
Brooklyn,76,30,23,0,1,0
Brooklyn,77,106,80,0,4,0
Brooklyn,78,89,73,0,1,0
Brooklyn,79,121,100,0,1,0
Brooklyn,81,51,44,1,1,0
Brooklyn,83,121,94,0,3,0
Brooklyn,84,88,66,0,1,0
Brooklyn,88,88,72,0,0,0
Brooklyn,90,186,156,0,2,0
Brooklyn,94,84,67,0,0,0
Queens,100,19,16,0,0,0
Queens,101,15,12,0,1,0
Queens,102,41,37,0,0,0
Queens,103,49,46,0,0,0
Queens,104,92,75,0,0,0
Queens,105,34,32,0,0,0
Queens,106,31,25,0,0,0
Queens,107,27,26,0,0,0
Queens,108,91,78,1,2,0
Queens,109,75,70,0,0,0
Queens,110,113,91,0,1,0
Queens,111,14,10,0,0,0
Queens,112,35,29,0,1,0
Queens,113,38,28,0,0,0
Queens,114,152,127,1,3,0
Queens,115,106,94,1,0,0
StatenIsland,120,41,33,0,0,0
StatenIsland,121,20,18,0,0,0
StatenIsland,122,9,5,0,0,0
StatenIsland,123,7,6,0,0,0
