borough,precinct,crashes,injuries_pedestrian,fatalities_pedestrian,injuries,fatalities
Manhattan,1,13,13,0,2,0
Manhattan,5,10,10,0,1,0
Manhattan,6,17,17,0,3,0
Manhattan,7,7,7,1,1,0
Manhattan,9,8,8,0,1,0
Manhattan,10,3,3,0,0,0
Manhattan,13,20,21,0,3,0
Manhattan,14,12,12,0,1,0
Manhattan,17,8,8,0,0,0
Manhattan,18,8,8,0,0,0
Manhattan,19,6,6,0,0,0
Manhattan,20,4,4,0,0,0
Manhattan,22,34,32,2,12,0
Manhattan,23,3,3,0,1,0
Manhattan,24,8,8,0,1,0
Manhattan,25,2,2,0,0,0
Manhattan,26,4,4,0,1,0
Manhattan,28,2,2,0,0,0
Manhattan,30,1,1,0,0,0
Manhattan,32,1,1,0,0,0
Manhattan,33,3,3,0,0,0
Manhattan,34,4,4,0,3,0
Bronx,40,2,2,0,1,0
Bronx,41,1,1,0,0,0
Bronx,42,1,1,0,0,0
Bronx,43,0,0,0,0,0
Bronx,44,0,0,0,0,0
Bronx,45,1,1,0,0,0
Bronx,46,0,0,0,0,0
Bronx,47,0,0,0,0,0
Bronx,48,1,1,0,0,0
Bronx,49,0,0,0,0,0
Bronx,50,2,2,0,1,0
Bronx,52,2,2,0,0,0
Brooklyn,60,3,3,0,0,0
Brooklyn,61,2,2,0,0,0
Brooklyn,62,3,3,0,0,0
Brooklyn,63,1,1,0,0,0
Brooklyn,66,1,1,0,0,0
Brooklyn,67,1,1,0,0,0
Brooklyn,68,3,3,0,0,0
Brooklyn,69,0,0,0,0,0
Brooklyn,70,3,3,0,0,0
Brooklyn,71,4,4,0,2,0
Brooklyn,72,2,3,0,0,0
Brooklyn,73,2,2,0,0,0
Brooklyn,75,0,0,0,0,0
Brooklyn,76,2,2,0,0,0
Brooklyn,77,1,1,0,0,0
Brooklyn,78,13,13,0,6,0
Brooklyn,79,7,7,0,0,0
Brooklyn,81,1,1,0,0,0
Brooklyn,83,5,6,0,0,0
Brooklyn,84,10,10,0,2,0
Brooklyn,88,2,2,0,2,0
Brooklyn,90,11,12,0,2,0
Brooklyn,94,6,6,0,1,0
Queens,100,1,1,0,0,0
Queens,101,1,1,0,0,0
Queens,102,1,1,0,0,0
Queens,103,4,4,0,0,0
Queens,104,4,4,0,0,0
Queens,105,1,1,0,0,0
Queens,106,1,1,0,0,0
Queens,107,0,0,0,0,0
Queens,108,1,1,0,0,0
Queens,109,3,3,0,0,0
Queens,110,3,4,0,0,0
Queens,111,1,1,0,0,0
Queens,112,2,2,0,0,0
Queens,113,0,0,0,0,0
Queens,114,4,4,0,0,0
Queens,115,4,4,0,0,0
StatenIsland,120,0,0,0,0,0
StatenIsland,121,0,0,0,0,0
StatenIsland,122,0,0,0,0,0
StatenIsland,123,0,0,0,0,0
